ts,T,H,PMS1,PMS2_5,PMS10,CO2,NO2,CO,VoC,C2H5OH
2023-04-17 08:02:32,31.286793,49.086727,68.00879,127.941956,138.59007,417.62607,267.4116,176.8705,257.6431,200.08914
2023-04-17 08:02:33,31.288015,49.08294,67.80289,126.902885,136.75127,417.40463,266.9475,177.13698,257.42023,200.23569
2023-04-17 08:02:34,31.28686,49.090424,67.67551,125.91646,135.03162,416.9508,266.36435,177.3051,257.273,200.07373
2023-04-17 08:02:35,31.287722,49.082897,67.570915,125.02428,133.41255,416.66403,265.78943,177.184,257.18637,200.11658
2023-04-17 08:02:36,31.282532,49.083015,67.598526,124.360504,132.23622,416.15726,265.72333,177.52972,256.96933,200.1204
2023-04-17 08:02:37,31.283697,49.08297,67.45148,123.571686,130.93459,415.82736,265.64352,178.01369,257.04062,200.11401
2023-04-17 08:02:38,31.290073,49.08953,67.47881,123.032486,130.4976,415.49384,265.5293,178.16785,257.0628,200.2102
2023-04-17 08:02:39,31.286314,49.09348,67.317154,122.472786,129.59122,414.96124,265.5192,178.52,256.93185,200.1651
2023-04-17 08:02:40,31.28513,49.09582,67.4164,121.73108,128.68985,414.90933,265.50333,178.73534,256.85822,200.16592
2023-04-17 08:02:41,31.292585,49.12702,68.1683,128.95341,140.30978,419.43954,269.44873,176.8144,258.08145,201.43694
2023-04-17 08:02:42,31.29458,49.128773,68.16587,128.16335,138.8406,419.027,268.80783,177.044,257.89056,201.35468
2023-04-17 08:02:43,31.295795,49.12517,67.96374,127.14082,137.0196,418.80045,268.3525,177.3087,257.6734,201.50134
2023-04-17 08:02:44,31.294628,49.13272,67.83849,126.171,135.32246,418.34525,267.7743,177.47237,257.53003,201.34044
2023-04-17 08:02:45,31.295496,49.125412,67.73835,125.296936,133.73123,418.0563,267.20364,177.35352,257.4472,201.38364
2023-04-17 08:02:46,31.290314,49.125694,67.76962,124.650665,132.58006,417.55353,267.1385,177.69974,257.2335,201.38646
2023-04-17 08:02:47,31.29146,49.12578,67.624504,123.87485,131.29936,417.22266,267.06235,178.18597,257.30862,201.38147
2023-04-17 08:02:48,31.297853,49.132412,67.650444,123.350365,130.87813,416.88892,266.95163,178.34093,257.33197,201.47719
2023-04-17 08:02:49,31.29409,49.136482,67.49278,122.80178,129.99101,416.36258,266.93964,178.68909,257.20288,201.43272
2023-04-17 08:02:50,31.292913,49.13888,67.593475,122.0739,129.09761,416.31094,266.92502,178.90605,257.13187,201.43353
2023-04-17 08:02:51,31.300201,49.17108,68.32214,129.1647,140.54634,420.8409,270.86523,176.98376,258.296,202.67317
2023-04-17 08:02:52,31.302183,49.172974,68.32,128.38493,139.09357,420.42447,270.238,177.2169,258.11224,202.59225
2023-04-17 08:02:53,31.30339,49.169544,68.12171,127.37889,137.2901,420.19244,269.79108,177.48001,257.9007,202.7391
2023-04-17 08:02:54,31.302214,49.177166,67.99888,126.42562,135.61519,419.7355,269.2175,177.63922,257.76105,202.57928
2023-04-17 08:02:55,31.303085,49.170063,67.90327,125.569695,134.0512,419.44412,268.65085,177.52267,257.6819,202.62285
2023-04-17 08:02:56,31.297913,49.170513,67.93839,124.94098,132.92482,418.94482,268.5864,177.86957,257.47147,202.62474
2023-04-17 08:02:57,31.299038,49.170715,67.79532,124.17819,131.66464,418.6126,268.51355,178.35805,257.55035,202.62117
2023-04-17 08:02:58,31.305449,49.177425,67.8201,123.66835,131.25914,418.27832,268.40604,178.51378,257.57483,202.71646
2023-04-17 08:02:59,31.301683,49.181614,67.66635,123.13071,130.39076,417.75772,268.392,178.85811,257.4475,202.67267
2023-04-17 08:03:00,31.300514,49.18407,67.76862,122.41649,129.50505,417.70602,268.37836,179.07668,257.37903,202.67346
2023-04-17 08:03:01,31.307688,49.21712,68.473335,129.37605,140.7843,422.2385,272.31726,177.1542,258.48444,203.8826
2023-04-17 08:03:02,31.309656,49.21915,68.4716,128.60664,139.34807,421.8178,271.70312,177.39098,258.30774,203.80305
2023-04-17 08:03:03,31.310854,49.215897,68.277176,127.61697,137.56187,421.5801,271.2641,177.65257,258.1017,203.95018
2023-04-17 08:03:04,31.30967,49.223583,68.15698,126.680275,135.90913,421.12106,270.69476,177.8074,257.9656,203.79147
2023-04-17 08:03:05,31.310543,49.216686,68.06591,125.84254,134.37206,420.82693,270.1317,177.69312,257.89014,203.83545
2023-04-17 08:03:06,31.305378,49.217293,68.10504,125.23144,133.27019,420.33075,270.0677,178.0408,257.6829,203.83652
2023-04-17 08:03:07,31.306484,49.217613,67.96407,124.481674,132.03021,419.99673,269.99768,178.5315,257.76547,203.83434
2023-04-17 08:03:08,31.312912,49.224396,67.98788,123.98643,131.64047,419.66156,269.8931,178.688,257.79092,203.92921
2023-04-17 08:03:09,31.309143,49.228706,67.83792,123.459526,130.79033,419.14615,269.8767,179.02866,257.66525,203.88612
2023-04-17 08:03:10,31.307981,49.231213,67.94188,122.758804,129.9122,419.09424,269.86368,179.24873,257.59918,203.88695
2023-04-17 08:03:11,31.31502,49.265293,68.62207,129.58789,141.02383,423.63052,273.8047,177.3275,258.646,205.06665
2023-04-17 08:03:12,31.316977,49.267464,68.620926,128.82898,139.60435,423.20547,273.20316,177.56792,258.47626,204.98848
2023-04-17 08:03:13,31.318163,49.264374,68.43041,127.85572,137.83539,422.962,272.77164,177.82806,258.2757,205.13602
2023-04-17 08:03:14,31.316969,49.272125,68.31311,126.9357,136.20477,422.5007,272.20612,177.97842,258.14307,204.97847
2023-04-17 08:03:15,31.317848,49.265434,68.22664,126.1162,134.69429,422.20374,271.64633,177.86633,258.07117,205.02289
2023-04-17 08:03:16,31.31269,49.2662,68.269936,125.52287,133.61667,421.7104,271.58246,178.21495,257.867,205.02324
2023-04-17 08:03:17,31.313778,49.26663,68.13119,124.78622,132.39667,421.37436,271.51483,178.70778,257.95322,205.02246
2023-04-17 08:03:18,31.320223,49.273483,68.154205,124.30556,132.02272,421.03827,271.41284,178.865,257.9796,205.11699
2023-04-17 08:03:19,31.316448,49.27791,68.007965,123.78922,131.19044,420.52774,271.39383,179.20206,257.85547,205.0746
2023-04-17 08:03:20,31.315294,49.280468,68.11371,123.101875,130.31966,420.47546,271.3811,179.42358,257.7917,205.07545
2023-04-17 08:03:21,31.322226,49.31556,68.76877,129.80028,141.26437,425.01666,275.32684,177.50493,258.7802,206.2269
2023-04-17 08:03:22,31.32417,49.31787,68.76834,129.05203,139.8619,424.5872,274.73727,177.74898,258.6174,206.15015
2023-04-17 08:03:23,31.325346,49.314945,68.581726,128.09526,138.11017,424.33798,274.3128,178.0077,258.4222,206.29816
2023-04-17 08:03:24,31.32414,49.32276,68.46755,127.19196,136.50174,423.8743,273.75067,178.15356,258.29297,206.1418
2023-04-17 08:03:25,31.325026,49.316265,68.38567,126.39087,135.01764,423.57455,273.19382,178.04358,258.22458,206.1867
2023-04-17 08:03:26,31.319876,49.31719,68.43328,125.815414,133.96405,423.08383,273.12982,178.3932,258.02344,206.18643
2023-04-17 08:03:27,31.320944,49.317722,68.29679,125.09191,132.76381,422.7456,273.0641,178.88809,258.11316,206.18704
2023-04-17 08:03:28,31.327406,49.32465,68.31919,124.62581,132.40578,422.40857,272.96436,179.04599,258.1404,206.28125
2023-04-17 08:03:29,31.323627,49.329185,68.176544,124.1199,131.59097,421.90265,272.94254,179.37953,258.0176,206.23956
2023-04-17 08:03:30,31.32248,49.331802,68.28417,123.44573,130.7275,421.84998,272.92972,179.6024,257.95602,206.24051
2023-04-17 08:03:31,31.3293,49.36798,68.91363,130.01337,141.50563,426.39627,276.8826,177.68773,258.88623,207.3646
2023-04-17 08:03:32,31.331232,49.37043,68.91407,129.27594,140.12056,425.9623,276.30447,177.9354,258.73022,207.28923
2023-04-17 08:03:33,31.332394,49.36766,68.731346,128.33572,138.38611,425.7075,275.88666,178.19267,258.54037,207.43785
2023-04-17 08:03:34,31.331179,49.37554,68.62052,127.449326,136.79991,425.24136,275.32758,178.33395,258.41443,207.28275
2023-04-17 08:03:35,31.332071,49.369247,68.54321,126.66674,135.34213,424.9389,274.77332,178.22594,258.34946,207.32816
2023-04-17 08:03:36,31.326927,49.37032,68.595276,126.10933,134.31241,424.45065,274.70895,178.57666,258.15125,207.32735
2023-04-17 08:03:37,31.327978,49.370956,68.46109,125.39908,133.13184,424.11017,274.6447,179.0735,258.2445,207.32936
2023-04-17 08:03:38,31.334455,49.377956,68.48304,124.94755,132.78978,423.7722,274.54694,179.23198,258.2725,207.42328
2023-04-17 08:03:39,31.330671,49.382603,68.343895,124.45189,131.99203,423.2706,274.52206,179.56209,258.15094,207.38234
